,count,mean,std,min,25%,50%,75%,max
snv_R502,204.0,-1.0928724180199343,0.07959333747662055,-1.4287455695789686,-1.1377007854824308,-1.0786502974983239,-1.0304196315534964,-0.9757947216574815
snv_R505,204.0,-1.0786880696998284,0.0675482673867176,-1.3518559481836439,-1.116495201945641,-1.0673045224391138,-1.026205247216409,-0.9718403211276193
snv_R508,204.0,-1.0602860964077558,0.05648380677079621,-1.3416847456092995,-1.0852176129764943,-1.053910107884514,-1.018603075329911,-0.9659158747140909
snv_R510,204.0,-1.0384805416304117,0.05074023683036914,-1.3439031333261688,-1.05640121302999,-1.0292214081134208,-1.0061006329336488,-0.958824669188136
snv_R513,204.0,-1.0120429843619283,0.05505448443282374,-1.346231657937814,-1.039555497644497,-0.999478576748428,-0.975430959832141,-0.88606119836474
snv_R516,204.0,-0.9821844154432203,0.06978493274289448,-1.3481061439021125,-1.022502624900448,-0.9636071690389093,-0.9420676449051629,-0.7923741628155817
snv_R519,204.0,-0.9484537382254257,0.09107226057267344,-1.3490861219181771,-1.0161491109289866,-0.9242545351288869,-0.8948859475632145,-0.6998623742549803
snv_R522,204.0,-0.9136789848453037,0.11498981691624502,-1.3514385351414764,-1.0087767851003977,-0.8880542293326839,-0.8414969684436545,-0.6130930087763408
snv_R525,204.0,-0.8797998448388321,0.13870261294110042,-1.3526240404511345,-1.0057718906775064,-0.8540305727358424,-0.787929909652699,-0.5343831468277332
snv_R528,204.0,-0.8490097520639737,0.16062160584325702,-1.3536384123054508,-1.0001297713275852,-0.8195068352041266,-0.7385954736610458,-0.46542915441867516
snv_R531,204.0,-0.8231078055664665,0.17919471139892526,-1.3546025930161059,-0.9989408883500261,-0.791615421626512,-0.6960687967052799,-0.4091646200655713
snv_R534,204.0,-0.8022809034399604,0.1944986739236855,-1.3555870180297982,-0.9987907602086785,-0.7717769177233906,-0.6630254327091958,-0.3626095343423712
snv_R537,204.0,-0.7858025948006161,0.20668141499805756,-1.3562592912579683,-0.9988199093232577,-0.7567975632122398,-0.6357346515163456,-0.3265112447961194
snv_R540,204.0,-0.7734000733566437,0.21633011370946464,-1.3569737254769918,-0.9988999353363328,-0.7399067664740908,-0.6143462251415386,-0.297478376433533
snv_R543,204.0,-0.762505019193809,0.22451870275010394,-1.3569163755818936,-0.9978420059215891,-0.7285944927650403,-0.5972051798048115,-0.2717672314096734
snv_R546,204.0,-0.7538260386041982,0.2311586577854166,-1.3567784472747089,-0.9971600715983631,-0.7187063118739343,-0.5857202234913296,-0.2511239068619651
snv_R549,204.0,-0.7458757976431543,0.23662948505944625,-1.3556308885184656,-0.9956986798926353,-0.7095831509089399,-0.5753626223903063,-0.2303560413930891
snv_R551,204.0,-0.7398775089112476,0.24081092125738432,-1.3535811398652797,-0.9938478596259746,-0.7030025626188314,-0.5671976591630037,-0.2106397543529457
snv_R554,204.0,-0.7363897465298724,0.24266500286085177,-1.350939486014714,-0.9916374487734382,-0.7012001003327866,-0.5639668866358488,-0.19791921966789447
snv_R557,204.0,-0.738614989258242,0.2410025401554391,-1.3484730117873482,-0.9907454717643815,-0.708686359757106,-0.5639447147888178,-0.1966306900705369
snv_R560,204.0,-0.7435503540232292,0.23688366693770488,-1.3440865098109451,-0.9892599427859285,-0.7198533686760511,-0.5696722256692881,-0.19906618649915636
snv_R563,204.0,-0.7531947717189362,0.2300586823811324,-1.3390493024148433,-0.9880683364356682,-0.7349591430360449,-0.5872786812374752,-0.20906754705989797
snv_R566,204.0,-0.7647779203878419,0.221631556743513,-1.3316102167063664,-0.9839701777532931,-0.7551423808570245,-0.6041925370893115,-0.22207651400917736
snv_R569,204.0,-0.7803940787992228,0.21110887374960888,-1.3230620782227165,-0.9827542576976926,-0.7821932505718885,-0.6335804890678395,-0.24055983910167336
snv_R572,204.0,-0.7964388781479999,0.19958484535041549,-1.3108648930190057,-0.9817604223238151,-0.8073109887961267,-0.6619035245170919,-0.23504233203335217
snv_R575,204.0,-0.8113491515453914,0.18856779376852822,-1.2962503494733046,-0.9801784151345239,-0.8305191422336315,-0.6841787170608262,-0.22505282452024128
snv_R578,204.0,-0.8226142204489242,0.17896251737101432,-1.2767605044079227,-0.9742415755242702,-0.850322329539466,-0.7124729920646093,-0.2154418015228093
snv_R581,204.0,-0.8322778891408059,0.17026305100522013,-1.2538086914224196,-0.9705131713256461,-0.8672084387477099,-0.7336324248473125,-0.20911477164210732
snv_R584,204.0,-0.838324010940054,0.16313514173557347,-1.2250105108529896,-0.9646363969892001,-0.8769079775027471,-0.7476969921135859,-0.19806471538524353
snv_R587,204.0,-0.8431468719870904,0.15680677847717142,-1.1909004302455517,-0.9532373069263024,-0.8870085149467203,-0.764623330648068,-0.19064120374893637
snv_R590,204.0,-0.8453265933410273,0.15146741914147638,-1.149569523273257,-0.9447043650896367,-0.8930815281761548,-0.7783095576662226,-0.18088624802811837
